id,ano_nascimento,escolaridade,estado_civil,salario_anual,filhos_em_casa,adolescentes_em_casa,data_cadastro,dias_desde_ultima_compra,gasto_com_eletronicos,gasto_com_brinquedos,gasto_com_moveis,gasto_com_utilidades,gasto_com_alimentos,gasto_com_vestuario,numero_de_compras_com_desconto,numero_de_compras_na_web,numero_de_compras_via_catalogo,numero_de_compras_na_loja,numero_visitas_website_mes,compra_na_campanha_1,compra_na_campanha_2,compra_na_campanha_3,compra_na_campanha_4,compra_na_campanha_5,comprou,pais,ano_cadastro,mes_cadastro,mes_nome_cadastro,dia_cadastro,dia_semana_cadastro,semana_cadastro,idade,faixa_etária,filhos,gasto_total,total_compras,comprou_em_campanha,engajamento_em_campanhas
1826,1970,Curso Superior,Divorciado,84835.0,0,0,2021-03-06,0,189.0,104.0,379.0,111.0,189.0,218.0,1,4,4,6,1,Não,Não,Não,Não,Não,Sim,Estados Unidos,2021,3,Março,6,Sábado,9,55,46-60,Não,1190.0,15,Não,0
1,1961,Curso Superior,Solteiro,57091.0,0,0,2021-03-06,0,464.0,5.0,64.0,7.0,0.0,37.0,1,7,3,7,5,Não,Não,Não,Não,Sim,Sim,Chile,2021,3,Março,6,Sábado,9,64,60+,Não,577.0,18,Sim,2
10476,1958,Curso Superior,Solteiro,67267.0,0,1,2021-07-05,0,134.0,11.0,59.0,15.0,2.0,30.0,1,3,2,5,2,Não,Não,Não,Não,Não,Não,Portugal,2021,7,Julho,5,Segunda-feira,27,67,60+,Sim,251.0,11,Não,0
1386,1967,Curso Superior,Casado,32474.0,1,1,2018-11-05,0,10.0,0.0,1.0,0.0,0.0,0.0,1,1,0,2,7,Não,Não,Não,Não,Não,Não,Brasil,2018,11,Novembro,5,Segunda-feira,45,58,46-60,Sim,11.0,4,Não,0
5371,1989,Curso Superior,Solteiro,21474.0,1,0,2018-08-04,0,6.0,16.0,24.0,11.0,0.0,34.0,2,3,1,2,7,Sim,Não,Não,Não,Não,Sim,Estados Unidos,2018,8,Agosto,4,Sábado,31,36,31-45,Sim,91.0,8,Sim,2
7348,1958,Doutorado,Solteiro,71691.0,0,0,2021-02-03,0,336.0,130.0,411.0,240.0,32.0,43.0,1,4,7,5,2,Não,Não,Não,Não,Não,Sim,Estados Unidos,2021,2,Fevereiro,3,Quarta-feira,5,67,60+,Não,1192.0,17,Não,0
4073,1954,Segundo Grau,Solteiro,63564.0,0,0,2021-07-01,0,769.0,80.0,252.0,15.0,34.0,65.0,1,10,10,7,6,Sim,Não,Não,Não,Não,Sim,Alemanha,2021,7,Julho,1,Quinta-feira,26,71,60+,Não,1215.0,28,Sim,2
1991,1967,Curso Superior,Casado,44931.0,0,1,2021-04-01,0,78.0,0.0,11.0,0.0,0.0,7.0,1,2,1,3,5,Não,Não,Não,Não,Não,Não,Estados Unidos,2021,4,Abril,1,Quinta-feira,13,58,46-60,Sim,96.0,7,Não,0
4047,1954,Doutorado,Solteiro,65324.0,0,1,2018-11-01,0,384.0,0.0,102.0,21.0,32.0,5.0,3,6,2,9,4,Não,Não,Não,Não,Não,Não,Portugal,2018,11,Novembro,1,Quinta-feira,44,71,60+,Sim,544.0,20,Não,0
9477,1954,Doutorado,Solteiro,65324.0,0,1,2018-11-01,0,384.0,0.0,102.0,21.0,32.0,5.0,3,6,2,9,4,Não,Não,Não,Não,Não,Não,Argentina,2018,11,Novembro,1,Quinta-feira,44,71,60+,Sim,544.0,20,Não,0
2079,1947,Segundo Grau,Solteiro,81044.0,0,0,2023-03-12,0,450.0,26.0,535.0,73.0,98.0,26.0,1,5,6,10,1,Não,Não,Não,Não,Não,Não,Portugal,2023,3,Março,12,Domingo,10,78,60+,Não,1208.0,22,Não,0
5642,1979,Mestrado,Casado,62499.0,1,0,2020-09-12,0,140.0,4.0,61.0,0.0,13.0,4.0,2,3,1,6,4,Não,Não,Não,Não,Não,Não,Estados Unidos,2020,9,Setembro,12,Sábado,37,46,46-60,Sim,222.0,12,Não,0
10530,1959,Doutorado,Divorciado,67786.0,0,0,2020-07-12,0,431.0,82.0,441.0,80.0,20.0,102.0,1,3,6,6,1,Não,Não,Não,Não,Não,Sim,Argentina,2020,7,Julho,12,Domingo,28,66,60+,Não,1156.0,16,Não,0
2964,1981,Curso Superior,Solteiro,26872.0,0,0,2023-01-10,0,3.0,10.0,8.0,3.0,16.0,32.0,1,1,1,2,6,Não,Não,Não,Não,Não,Não,Chile,2023,1,Janeiro,10,Terça-feira,2,44,31-45,Não,72.0,5,Não,0
10311,1969,Curso Superior,Solteiro,4428.0,0,1,2020-05-10,0,16.0,4.0,12.0,2.0,4.0,321.0,0,25,0,0,1,Não,Não,Não,Não,Não,Não,Estados Unidos,2020,5,Maio,10,Domingo,19,56,46-60,Sim,359.0,25,Não,0
837,1977,Curso Superior,Solteiro,54809.0,1,1,2020-11-09,0,63.0,6.0,57.0,13.0,13.0,22.0,4,2,1,5,4,Não,Não,Não,Não,Não,Não,Estados Unidos,2020,11,Novembro,9,Segunda-feira,46,48,46-60,Sim,174.0,12,Não,0
10521,1977,Curso Superior,Solteiro,54809.0,1,1,2020-11-09,0,63.0,6.0,57.0,13.0,13.0,22.0,4,2,1,5,4,Não,Não,Não,Não,Não,Sim,Estados Unidos,2020,11,Novembro,9,Segunda-feira,46,48,46-60,Sim,174.0,12,Não,0
10175,1958,Doutorado,Divorciado,32173.0,0,1,2020-01-08,0,18.0,0.0,2.0,0.0,0.0,2.0,1,1,0,3,4,Não,Não,Não,Não,Não,Não,Estados Unidos,2020,1,Janeiro,8,Quarta-feira,2,67,60+,Sim,22.0,5,Não,0
1473,1960,Segundo Grau,Solteiro,47823.0,0,1,2023-04-07,0,53.0,1.0,5.0,2.0,1.0,10.0,2,2,0,3,8,Não,Não,Não,Não,Não,Não,Chile,2023,4,Abril,7,Sexta-feira,14,65,60+,Sim,72.0,7,Não,0
9687,1975,Curso Superior,Solteiro,73170.0,0,0,2021-08-05,1,184.0,174.0,256.0,50.0,30.0,32.0,1,5,4,6,2,Não,Não,Não,Não,Não,Não,Chile,2021,8,Agosto,5,Quinta-feira,31,50,46-60,Não,726.0,16,Não,0
8890,1971,Doutorado,Divorciado,65808.0,1,1,2021-02-05,1,155.0,7.0,80.0,13.0,7.0,10.0,3,5,1,5,6,Não,Não,Não,Não,Não,Não,Estados Unidos,2021,2,Fevereiro,5,Sexta-feira,5,54,46-60,Sim,272.0,14,Não,0
9264,1986,Curso Superior,Solteiro,79529.0,0,0,2021-03-04,1,423.0,42.0,706.0,73.0,197.0,197.0,1,4,8,9,2,Não,Não,Não,Não,Não,Não,Chile,2021,3,Março,4,Quinta-feira,9,39,31-45,Não,1638.0,22,Não,0
5824,1972,Doutorado,Casado,34578.0,2,1,2018-11-04,1,7.0,0.0,1.0,0.0,0.0,0.0,1,1,0,2,6,Não,Não,Não,Não,Não,Não,Brasil,2018,11,Novembro,4,Domingo,44,53,46-60,Sim,8.0,4,Não,0
5794,1974,Doutorado,Solteiro,46374.0,0,1,2021-02-03,1,408.0,0.0,21.0,0.0,0.0,17.0,3,7,1,7,8,Não,Sim,Não,Sim,Não,Sim,Argentina,2021,2,Fevereiro,3,Quarta-feira,5,51,46-60,Sim,446.0,18,Sim,3
3068,1990,Curso Superior,Solteiro,18351.0,0,0,2023-07-10,1,1.0,12.0,9.0,0.0,14.0,7.0,1,2,0,3,7,Não,Não,Não,Não,Não,Não,Estados Unidos,2023,7,Julho,10,Segunda-feira,28,35,31-45,Não,43.0,6,Não,0
7962,1987,Doutorado,Solteiro,95169.0,0,0,2020-09-10,1,1285.0,21.0,449.0,106.0,20.0,20.0,1,4,3,4,1,Não,Não,Sim,Sim,Não,Sim,Estados Unidos,2020,9,Setembro,10,Quinta-feira,37,38,31-45,Não,1901.0,12,Sim,3
2681,1984,Segundo Grau,Solteiro,65370.0,0,0,2020-01-08,1,71.0,22.0,112.0,138.0,89.0,29.0,1,2,3,13,1,Não,Não,Não,Não,Não,Não,Estados Unidos,2020,1,Janeiro,8,Quarta-feira,2,41,31-45,Não,461.0,19,Não,0
10141,1960,Mestrado,Divorciado,39228.0,0,0,2020-10-05,1,7.0,1.0,6.0,0.0,3.0,3.0,1,0,0,3,4,Não,Não,Não,Não,Não,Não,Espanha,2020,10,Outubro,5,Segunda-feira,41,65,60+,Não,20.0,4,Não,0
3725,1961,Doutorado,Solteiro,84865.0,0,0,2020-09-05,1,1248.0,16.0,349.0,43.0,16.0,16.0,1,2,4,9,4,Não,Sim,Sim,Sim,Sim,Sim,Estados Unidos,2020,9,Setembro,5,Sábado,36,64,60+,Não,1688.0,16,Sim,5
3767,1968,Curso Superior,Solteiro,61314.0,0,1,2023-04-04,1,378.0,0.0,189.0,97.0,172.0,172.0,2,5,5,12,3,Não,Não,Não,Não,Não,Não,Estados Unidos,2023,4,Abril,4,Terça-feira,14,57,46-60,Sim,1008.0,24,Não,0
5585,1972,Curso Superior,Solteiro,21359.0,1,0,2022-05-04,1,12.0,2.0,17.0,6.0,1.0,10.0,2,2,0,3,8,Não,Não,Não,Não,Não,Sim,Chile,2022,5,Maio,4,Quarta-feira,18,53,46-60,Sim,48.0,7,Não,0
7030,1955,Doutorado,Solteiro,66465.0,0,1,2023-02-03,1,1200.0,0.0,204.0,38.0,29.0,14.0,3,11,9,12,6,Não,Não,Não,Sim,Não,Não,Estados Unidos,2023,2,Fevereiro,3,Sexta-feira,5,70,60+,Sim,1485.0,35,Sim,2
1524,1983,Segundo Grau,Solteiro,81698.0,0,0,2020-01-03,1,709.0,45.0,115.0,30.0,160.0,45.0,1,8,2,5,5,Não,Não,Não,Sim,Não,Sim,Estados Unidos,2020,1,Janeiro,3,Sexta-feira,1,42,31-45,Não,1104.0,16,Sim,2
3657,1986,Curso Superior,Solteiro,39146.0,1,0,2023-02-02,1,94.0,1.0,33.0,13.0,12.0,12.0,3,4,0,4,8,Não,Não,Não,Não,Não,Não,Estados Unidos,2023,2,Fevereiro,2,Quinta-feira,5,39,31-45,Sim,165.0,11,Não,0
5740,1970,Segundo Grau,Divorciado,25959.0,1,1,2023-02-02,1,4.0,2.0,12.0,7.0,5.0,26.0,2,1,2,2,6,Não,Não,Não,Não,Não,Sim,Estados Unidos,2023,2,Fevereiro,2,Quinta-feira,5,55,46-60,Sim,56.0,7,Não,0
9595,1961,Curso Superior,Casado,64260.0,0,0,2020-11-01,1,539.0,169.0,816.0,20.0,0.0,30.0,1,4,5,4,3,Não,Não,Não,Não,Não,Sim,Estados Unidos,2020,11,Novembro,1,Domingo,44,64,60+,Não,1574.0,14,Não,0
3158,1973,Curso Superior,Solteiro,32300.0,1,0,2020-03-01,1,13.0,3.0,6.0,6.0,5.0,6.0,1,1,0,3,8,Não,Não,Não,Não,Não,Não,Estados Unidos,2020,3,Março,1,Domingo,9,52,46-60,Sim,39.0,5,Não,0
5114,1965,Mestrado,Solteiro,74806.0,0,1,2022-04-12,1,670.0,9.0,249.0,0.0,28.0,9.0,2,5,4,5,4,Não,Não,Não,Não,Não,Não,Brasil,2022,4,Abril,12,Terça-feira,15,60,46-60,Sim,965.0,16,Não,0
340,1970,Curso Superior,Divorciado,72967.0,0,1,2022-03-12,1,158.0,35.0,179.0,0.0,0.0,125.0,2,7,2,8,5,Sim,Não,Não,Não,Não,Sim,Alemanha,2022,3,Março,12,Sábado,10,55,46-60,Sim,497.0,19,Sim,2
8805,1960,Curso Superior,Solteiro,48904.0,0,1,2019-02-12,1,283.0,10.0,38.0,0.0,13.0,27.0,4,7,2,4,8,Não,Não,Não,Não,Não,Não,Portugal,2019,2,Fevereiro,12,Terça-feira,7,65,60+,Sim,371.0,17,Não,0
1241,1984,Segundo Grau,Solteiro,14796.0,1,0,2022-02-09,1,13.0,3.0,8.0,7.0,4.0,16.0,2,1,0,3,9,Não,Não,Não,Não,Não,Sim,Alemanha,2022,2,Fevereiro,9,Quarta-feira,6,41,31-45,Sim,51.0,6,Não,0
1402,1954,Mestrado,Solteiro,66991.0,0,0,2019-11-09,1,496.0,36.0,460.0,189.0,60.0,12.0,3,4,8,6,3,Não,Não,Não,Não,Não,Não,Alemanha,2019,11,Novembro,9,Sábado,45,71,60+,Não,1253.0,21,Não,0
7264,1978,Segundo Grau,Solteiro,52195.0,2,1,2018-04-05,2,12.0,0.0,4.0,0.0,0.0,1.0,1,1,0,2,8,Não,Não,Não,Não,Não,Não,Espanha,2018,4,Abril,5,Quinta-feira,14,47,46-60,Sim,17.0,4,Não,0
1619,1956,Curso Superior,Solteiro,90369.0,0,0,2021-03-04,2,292.0,51.0,981.0,224.0,23.0,17.0,1,4,6,6,1,Não,Não,Não,Não,Não,Sim,Estados Unidos,2021,3,Março,4,Quinta-feira,9,69,60+,Não,1588.0,17,Não,0
6398,1974,Primeiro Grau,Solteiro,18393.0,1,0,2021-07-03,2,7.0,10.0,13.0,16.0,0.0,4.0,2,3,0,3,8,Não,Não,Não,Não,Não,Não,Estados Unidos,2021,7,Julho,3,Sábado,26,51,46-60,Sim,50.0,8,Não,0
1857,1952,Curso Superior,Solteiro,47139.0,1,1,2018-06-03,2,46.0,0.0,12.0,0.0,2.0,23.0,2,2,1,2,7,Não,Não,Não,Não,Não,Sim,Estados Unidos,2018,6,Junho,3,Domingo,22,73,60+,Sim,83.0,7,Não,0
4877,1973,Mestrado,Solteiro,38576.0,0,1,2018-04-03,2,34.0,0.0,7.0,0.0,0.0,0.0,1,1,0,3,7,Não,Não,Não,Não,Não,Não,Argentina,2018,4,Abril,3,Terça-feira,14,52,46-60,Sim,41.0,5,Não,0
3066,1975,Doutorado,Casado,61905.0,0,1,2018-04-02,2,167.0,0.0,43.0,6.0,2.0,13.0,2,4,2,4,5,Não,Não,Não,Não,Não,Não,Espanha,2018,4,Abril,2,Segunda-feira,14,50,46-60,Sim,231.0,12,Não,0
10286,1962,Curso Superior,Solteiro,83715.0,0,0,2018-03-02,2,318.0,8.0,407.0,150.0,35.0,8.0,1,2,8,13,0,Não,Não,Não,Não,Não,Não,Espanha,2018,3,Março,2,Sexta-feira,9,63,60+,Não,926.0,24,Não,0
1992,1964,Curso Superior,Solteiro,60597.0,0,1,2018-01-01,2,522.0,0.0,257.0,32.0,16.0,66.0,4,2,2,8,7,Não,Não,Não,Sim,Não,Sim,Estados Unidos,2018,1,Janeiro,1,Segunda-feira,1,61,60+,Sim,893.0,16,Sim,2
4246,1982,Mestrado,Solteiro,6560.0,0,0,2020-04-12,2,67.0,11.0,26.0,4.0,3.0,262.0,0,1,0,1,17,Não,Não,Não,Não,Não,Não,Estados Unidos,2020,4,Abril,12,Domingo,15,43,31-45,Não,373.0,2,Não,0
10623,1961,Mestrado,Casado,48330.0,0,1,2023-03-11,2,28.0,0.0,4.0,0.0,0.0,0.0,1,1,0,3,5,Não,Não,Não,Não,Não,Não,Estados Unidos,2023,3,Março,11,Sábado,10,64,60+,Sim,32.0,5,Não,0
4867,1968,Doutorado,Solteiro,38236.0,1,1,2022-05-09,2,58.0,0.0,18.0,2.0,0.0,10.0,4,3,0,4,7,Não,Não,Não,Não,Não,Não,Estados Unidos,2022,5,Maio,9,Segunda-feira,19,57,46-60,Sim,88.0,11,Não,0
3112,1977,Mestrado,Solteiro,22701.0,1,0,2020-05-09,2,2.0,4.0,9.0,0.0,4.0,5.0,1,1,0,3,5,Não,Não,Não,Não,Não,Não,Estados Unidos,2020,5,Maio,9,Sábado,19,48,46-60,Sim,24.0,5,Não,0
4865,1974,Mestrado,Divorciado,53367.0,1,1,2023-08-08,2,229.0,7.0,140.0,10.0,3.0,11.0,7,5,1,8,7,Não,Não,Não,Não,Não,Sim,Brasil,2023,8,Agosto,8,Terça-feira,32,51,46-60,Sim,400.0,21,Não,0
6287,1986,Curso Superior,Casado,34728.0,1,0,2023-02-07,2,14.0,0.0,16.0,0.0,0.0,6.0,1,1,1,2,6,Não,Não,Não,Não,Não,Sim,Estados Unidos,2023,2,Fevereiro,7,Terça-feira,6,39,31-45,Sim,36.0,5,Não,0
4405,1956,Mestrado,Solteiro,63915.0,0,2,2023-02-07,2,622.0,7.0,115.0,30.0,0.0,15.0,2,6,3,12,5,Não,Não,Não,Não,Não,Não,Brasil,2023,2,Fevereiro,7,Terça-feira,6,69,60+,Sim,789.0,23,Não,0
5332,1960,Segundo Grau,Solteiro,82504.0,0,0,2023-03-07,2,362.0,50.0,431.0,134.0,35.0,54.0,1,3,6,7,1,Não,Não,Não,Não,Não,Não,Argentina,2023,3,Março,7,Terça-feira,10,65,60+,Não,1066.0,17,Não,0
1519,1972,Doutorado,Solteiro,38578.0,1,1,2023-04-06,2,38.0,4.0,22.0,3.0,3.0,3.0,3,3,0,3,8,Não,Não,Não,Não,Não,Sim,Estados Unidos,2023,4,Abril,6,Quinta-feira,14,53,46-60,Sim,73.0,9,Não,0
9080,1972,Doutorado,Solteiro,38578.0,1,1,2023-04-06,2,38.0,4.0,22.0,3.0,3.0,3.0,3,3,0,3,8,Não,Não,Não,Não,Não,Não,Estados Unidos,2023,4,Abril,6,Quinta-feira,14,53,46-60,Sim,73.0,9,Não,0
1772,1975,Doutorado,Solteiro,79174.0,0,0,2020-11-01,2,1074.0,37.0,518.0,193.0,92.0,129.0,1,5,6,7,2,Não,Não,Sim,Sim,Não,Sim,Chile,2020,11,Novembro,1,Domingo,44,50,46-60,Não,2043.0,19,Sim,3
5341,1962,Segundo Grau,Divorciado,81975.0,0,1,2020-05-01,2,983.0,76.0,184.0,180.0,138.0,27.0,1,6,3,4,7,Não,Não,Sim,Não,Não,Não,Espanha,2020,5,Maio,1,Sexta-feira,18,63,60+,Sim,1588.0,14,Sim,2
5510,1977,Mestrado,Solteiro,43263.0,0,1,2022-04-11,2,262.0,6.0,61.0,0.0,10.0,102.0,3,5,2,6,5,Não,Não,Não,Não,Não,Não,Estados Unidos,2022,4,Abril,11,Segunda-feira,15,48,46-60,Sim,441.0,16,Não,0
3887,1970,Curso Superior,Solteiro,27242.0,1,0,2019-11-11,2,3.0,17.0,26.0,20.0,1.0,39.0,2,2,0,3,9,Não,Não,Não,Não,Não,Sim,Argentina,2019,11,Novembro,11,Segunda-feira,46,55,46-60,Sim,106.0,7,Não,0
7022,1971,Curso Superior,Solteiro,76445.0,1,0,2022-03-09,2,739.0,107.0,309.0,140.0,80.0,35.0,1,2,5,13,6,Não,Não,Não,Não,Não,Não,Espanha,2022,3,Março,9,Quarta-feira,10,54,46-60,Sim,1410.0,21,Não,0
9999,1965,Curso Superior,Casado,75276.0,0,0,2022-08-09,2,610.0,105.0,125.0,137.0,42.0,21.0,1,9,4,9,5,Não,Não,Não,Não,Não,Não,Estados Unidos,2022,8,Agosto,9,Terça-feira,32,60,46-60,Não,1040.0,23,Não,0
10352,1963,Curso Superior,Divorciado,34213.0,1,1,2019-07-09,2,50.0,4.0,28.0,6.0,3.0,26.0,3,3,1,2,9,Não,Não,Não,Não,Não,Sim,Espanha,2019,7,Julho,9,Terça-feira,28,62,60+,Sim,117.0,9,Não,0
7919,1976,Doutorado,Casado,72335.0,0,0,2022-07-08,2,1285.0,105.0,653.0,28.0,21.0,0.0,1,10,4,8,8,Não,Não,Não,Não,Não,Sim,Estados Unidos,2022,7,Julho,8,Sexta-feira,27,49,46-60,Não,2092.0,23,Não,0
4114,1964,Mestrado,Solteiro,79143.0,0,0,2019-11-08,2,650.0,37.0,780.0,27.0,167.0,32.0,1,6,9,13,3,Não,Não,Não,Não,Não,Não,Brasil,2019,11,Novembro,8,Sexta-feira,45,61,60+,Não,1693.0,29,Não,0
7990,1947,Curso Superior,Solteiro,27469.0,0,0,2019-02-08,2,9.0,1.0,2.0,3.0,2.0,0.0,1,0,0,3,6,Não,Não,Não,Não,Não,Não,Chile,2019,2,Fevereiro,8,Sexta-feira,6,78,60+,Não,17.0,4,Não,0
9888,1969,Curso Superior,Casado,68695.0,0,0,2021-04-06,3,458.0,81.0,356.0,106.0,50.0,40.0,1,4,4,7,2,Não,Não,Não,Não,Não,Não,Estados Unidos,2021,4,Abril,6,Terça-feira,14,56,46-60,Não,1091.0,16,Não,0
4399,1969,Curso Superior,Casado,68695.0,0,0,2021-04-06,3,458.0,81.0,356.0,106.0,50.0,40.0,1,4,4,7,2,Não,Não,Não,Não,Não,Não,Chile,2021,4,Abril,6,Terça-feira,14,56,46-60,Não,1091.0,16,Não,0
4452,1957,Curso Superior,Solteiro,50388.0,0,1,2021-03-05,3,292.0,6.0,37.0,0.0,3.0,34.0,4,6,1,6,7,Não,Sim,Não,Sim,Não,Sim,Alemanha,2021,3,Março,5,Sexta-feira,9,68,60+,Sim,372.0,17,Sim,3
4785,1970,Doutorado,Casado,77622.0,0,2,2021-02-04,3,520.0,7.0,154.0,19.0,0.0,14.0,2,6,3,11,3,Não,Não,Não,Não,Não,Não,Espanha,2021,2,Fevereiro,4,Quinta-feira,5,55,46-60,Sim,714.0,22,Não,0
8461,1962,Curso Superior,Divorciado,46102.0,2,1,2018-10-03,3,14.0,0.0,1.0,0.0,0.0,1.0,1,1,0,2,7,Não,Não,Não,Não,Não,Não,Estados Unidos,2018,10,Outubro,3,Quarta-feira,40,63,60+,Sim,16.0,4,Não,0
3878,1980,Segundo Grau,Solteiro,31859.0,1,0,2021-03-02,3,3.0,4.0,7.0,15.0,8.0,11.0,1,1,0,3,7,Não,Não,Não,Não,Não,Não,Estados Unidos,2021,3,Março,2,Terça-feira,9,45,31-45,Sim,48.0,5,Não,0
9612,1987,Segundo Grau,Solteiro,23830.0,0,0,2018-07-02,3,1.0,8.0,6.0,4.0,8.0,16.0,1,1,0,3,7,Não,Não,Não,Não,Não,Não,Estados Unidos,2018,7,Julho,2,Segunda-feira,27,38,31-45,Não,43.0,5,Não,0
4098,1973,Curso Superior,Solteiro,24639.0,1,1,2021-03-01,3,20.0,3.0,16.0,0.0,4.0,1.0,3,2,0,4,6,Não,Não,Não,Não,Não,Não,Brasil,2021,3,Março,1,Segunda-feira,9,52,46-60,Sim,44.0,9,Não,0
158,1945,Doutorado,Casado,71604.0,0,0,2023-02-11,3,345.0,53.0,528.0,98.0,75.0,97.0,1,8,3,5,4,Sim,Não,Não,Não,Não,Sim,Estados Unidos,2023,2,Fevereiro,11,Sábado,6,80,60+,Não,1196.0,17,Sim,2
3896,1984,Curso Superior,Solteiro,27255.0,1,0,2020-07-11,3,22.0,1.0,11.0,0.0,1.0,2.0,1,1,0,3,7,Não,Não,Não,Não,Não,Não,Estados Unidos,2020,7,Julho,11,Sábado,28,41,31-45,Sim,37.0,5,Não,0
9970,1977,Curso Superior,Casado,55375.0,0,1,2023-02-10,3,42.0,11.0,57.0,10.0,28.0,14.0,1,1,1,6,2,Não,Não,Não,Não,Não,Não,Chile,2023,2,Fevereiro,10,Sexta-feira,6,48,46-60,Sim,162.0,9,Não,0
4002,1960,Doutorado,Solteiro,77037.0,0,1,2023-07-10,3,463.0,96.0,333.0,168.0,53.0,10.0,1,7,7,12,3,Não,Não,Não,Não,Não,Não,Estados Unidos,2023,7,Julho,10,Segunda-feira,28,65,60+,Sim,1123.0,27,Não,0
10914,1970,Curso Superior,Solteiro,24163.0,1,1,2020-04-10,3,4.0,1.0,7.0,2.0,1.0,2.0,2,1,0,3,4,Não,Não,Não,Não,Não,Não,Estados Unidos,2020,4,Abril,10,Sexta-feira,15,55,46-60,Sim,17.0,6,Não,0
7279,1969,Doutorado,Casado,69476.0,0,0,2023-02-09,3,260.0,86.0,559.0,63.0,9.0,67.0,1,4,6,4,2,Não,Não,Não,Não,Não,Não,Portugal,2023,2,Fevereiro,9,Quinta-feira,6,56,46-60,Não,1044.0,15,Não,0
10582,1979,Curso Superior,Solteiro,72063.0,0,1,2020-03-07,3,180.0,32.0,348.0,76.0,32.0,90.0,2,5,2,12,2,Não,Não,Não,Não,Não,Não,Alemanha,2020,3,Março,7,Sábado,10,46,46-60,Sim,758.0,21,Não,0
4470,1962,Mestrado,Solteiro,58646.0,0,1,2020-10-06,3,62.0,1.0,44.0,6.0,5.0,22.0,1,2,1,4,4,Não,Não,Não,Não,Não,Não,Estados Unidos,2020,10,Outubro,6,Terça-feira,41,63,60+,Sim,140.0,8,Não,0
6183,1962,Mestrado,Solteiro,58646.0,0,1,2020-10-06,3,62.0,1.0,44.0,6.0,5.0,22.0,1,2,1,4,4,Não,Não,Não,Não,Não,Não,Alemanha,2020,10,Outubro,6,Terça-feira,41,63,60+,Sim,140.0,8,Não,0
